1994,,,,2003,,,,age dependency ratio (older than 64 to 15-64),,,,,India,,,in model,after round,,China,,,in model,after round,,Finland,,,in model,after round
age,total ,percentage,,age,total,percentage,,year,ratio,,,,Age,total,pecentage,500,,,Age,total,pecentage,500,,,Age,total,pecentage,500,
5,"1,259,000",1.20%,,5,"1,197,000",1.09%,,1994,0.2,,,,5,,,,21,,5,,,,14,,5,"63,941",1.55%,7.765801471,8
6,"1,302,000",1.24%,,6,"1,190,000",1.08%,,1995,0.21,,,,6,,,,21,,6,,,,14,,6,"62,274",1.51%,7.563339966,8
7,"1,345,000",1.29%,,7,"1,185,000",1.08%,,1996,0.22,,,,7,,,,20,,7,,,,14,,7,61097,1.48%,7.420390242,7
8,"1,376,000",1.32%,,8,"1,205,000",1.10%,,1997,0.23,,,,8,,,,20,,8,,,,14,,8,"62,616",1.52%,7.60487676,8
9,"1,442,000",1.38%,,9,"1,209,000",1.10%,,1998,0.24,,,,9,,,,19,,9,,,,14,,9,64854,1.58%,7.876687705,8
10,"1,492,000",1.43%,,10,"1,191,000",1.09%,,1999,0.25,,,,10,,,,19,,10,,,,12,,10,66940,1.63%,8.130037854,8
11,"1,508,000",1.44%,,11,"1,212,000",1.10%,,2000,0.26,,,,11,,,,19,,11,,,,12,,11,67583,1.64%,8.208131884,8
12,"1,513,000",1.45%,,12,"1,212,000",1.10%,,2001,0.27,,,,12,,,,18,,12,,,,12,,12,66061,1.60%,8.023281008,8
13,"1,531,000",1.46%,,13,"1,241,000",1.13%,,2002,0.28,,,,13,,,,18,,13,,,,12,,13,64603,1.57%,7.8462031,8
14,"1,600,000",1.53%,,14,"1,264,000",1.15%,,2003,0.29,,,,14,,,,18,,14,,,,12,,14,64445,1.57%,7.827013587,8
15-19,"8,868,000",8.48%,,15-19,"6,997,000",6.38%,,,,,,,15-19,"95,235,909",16.23%,81.12748831,81,,15-19,"99,213,370",11.37%,56.85713096,57,,15-19,"326,747",7.94%,39.68427665,40
20-24,"9,986,000",9.54%,,20-24,"7,859,000",7.16%,,,,,,,20-24,"84,766,745",14.44%,72.2092453,72,,20-24,"127,580,296",14.62%,73.11362972,73,,20-24,"304,794",7.40%,37.01802745,37
25-29,"8,673,000",8.29%,,25-29,"9,106,000",8.30%,,,,,,,25-29,"75,168,135",12.81%,64.03259083,64,,25-29,"124,897,202",14.32%,71.57600403,72,,25-29,"363,105",8.82%,44.10005072,44
30-34,"7,897,000",7.55%,,30-34,"9,701,000",8.84%,,,,,,,30-34,"67,279,771",11.46%,57.31282342,57,,30-34,"94,608,708",10.84%,54.21829438,54,,30-34,"382,159",9.28%,46.41420879,46
35-39,"7,906,000",7.56%,,35-39,"8,468,000",7.72%,,,,,,,35-39,"59,185,729",10.08%,50.41784751,50,,35-39,"89,480,897",10.26%,51.27965192,51,,35-39,"391,066",9.50%,47.49598721,48
