country,year,age,prob,per tick,in-code age
Japan,1990-1999,15-19,0.00039,9.7514E-05,0～20
Japan,1990-1999,20-24,0.000505,1.2627E-04,20～40
Japan,1990-1999,25-29,0.000523,1.3078E-04,40～60
Japan,1990-1999,30-34,0.000638,1.5954E-04,60～80
Japan,1990-1999,35-39,0.000899,2.2483E-04,80～100
Japan,1990-1999,40-44,0.001427,3.5694E-04,100～120
Japan,1990-1999,45-49,0.002329,5.8276E-04,120～140
Japan,1990-1999,50-54,0.003651,9.1400E-04,140～160
Japan,1990-1999,55-59,0.005654,1.4165E-03,160～180
Japan,1990-1999,60-64,0.008959,2.2473E-03,180～200
Japan,1990-1999,65-69,0.013701,3.4430E-03,200～220
Japan,1990-1999,70-74,0.021679,5.4644E-03,220～240
Japan,1990-1999,75-79,0.037803,9.5878E-03,240～260
Japan,1990-1999,80-84,0.068361,1.7547E-02,260～280
Japan,1990-1999,85-89,0.118223,3.0964E-02,280～300
Japan,1990-1999,90-94,0.194816,5.2730E-02,300～320
Japan,1990-1999,95-99,0.29445,8.3501E-02,320～340
Japan,1990-1999,100-104,0.41848,1.2674E-01,340～360
,,,,,
China,1990-1999,15-19,0.000825,2.0625E-04,0～20
China,1990-1999,20-24,0.001143,2.8575E-04,20～40
China,1990-1999,25-29,0.001396,3.4900E-04,40～60
China,1990-1999,30-34,0.001626,4.0650E-04,60～80
China,1990-1999,35-39,0.001973,4.9325E-04,80～100
China,1990-1999,40-44,0.002872,7.1800E-04,100～120
China,1990-1999,45-49,0.004008,1.0020E-03,120～140
China,1990-1999,50-54,0.006498,1.6245E-03,140～160
China,1990-1999,55-59,0.009429,2.3573E-03,160～180
China,1990-1999,60-64,0.016891,4.2228E-03,180～200
China,1990-1999,65-69,0.026740,6.6850E-03,200～220
China,1990-1999,70-74,0.042376,1.0594E-02,220～240
China,1990-1999,75-79,0.067087,1.6772E-02,240～260
China,1990-1999,80-84,0.113290,2.8323E-02,260～280
China,1990-1999,85-89,0.180523,4.5131E-02,280～300
China,1990-1999,90-94,0.287798,7.1950E-02,300～320
China,1990-1999,95-99,0.441595,1.1040E-01,320～340
China,1990-1999,100+,0.596457,1.4911E-01,340～360
,,,,,
India,1990-1999,15-19,0.001935,4.8375E-04,0～20
India,1990-1999,20-24,0.002465,6.1625E-04,20～40
India,1990-1999,25-29,0.002721,6.8025E-04,40～60
India,1990-1999,30-34,0.003037,7.5925E-04,60～80
India,1990-1999,35-39,0.003651,9.1275E-04,80～100
India,1990-1999,40-44,0.004752,1.1880E-03,100～120
India,1990-1999,45-49,0.007066,1.7665E-03,120～140
India,1990-1999,50-54,0.010816,2.7040E-03,140～160
India,1990-1999,55-59,0.016562,4.1405E-03,160～180
India,1990-1999,60-64,0.026403,6.6008E-03,180～200
India,1990-1999,65-69,0.039924,9.9810E-03,200～220
India,1990-1999,70-74,0.059190,1.4798E-02,220～240
India,1990-1999,75-79,0.088050,2.2013E-02,240～260
India,1990-1999,80-84,0.128641,3.2160E-02,260～280
India,1990-1999,85-89,0.184857,4.6214E-02,280～300
India,1990-1999,90-94,0.257365,6.4341E-02,300～320
India,1990-1999,95-99,0.347750,8.6938E-02,320～340
India,1990-1999,100+,0.458656,1.1466E-01,340～360
,,,,,
Finland,1990-1999,15-19,0.000544,1.3600E-04,0～20
Finland,1990-1999,20-24,0.000796,1.9900E-04,20～40
Finland,1990-1999,25-29,0.000866,2.1650E-04,40～60
Finland,1990-1999,30-34,0.001114,2.7850E-04,60～80
Finland,1990-1999,35-39,0.001669,4.1725E-04,80～100
Finland,1990-1999,40-44,0.002512,6.2800E-04,100～120
Finland,1990-1999,45-49,0.003682,9.2050E-04,120～140
Finland,1990-1999,50-54,0.005270,1.3175E-03,140～160
Finland,1990-1999,55-59,0.007697,1.9243E-03,160～180
Finland,1990-1999,60-64,0.012216,3.0540E-03,180～200
Finland,1990-1999,65-69,0.019483,4.8708E-03,200～220
Finland,1990-1999,70-74,0.031743,7.9358E-03,220～240
Finland,1990-1999,75-79,0.052949,1.3237E-02,240～260
Finland,1990-1999,80-84,0.090226,2.2557E-02,260～280
Finland,1990-1999,85-89,0.153509,3.8377E-02,280～300
Finland,1990-1999,90-94,0.244596,6.1149E-02,300～320
Finland,1990-1999,95-99,0.370758,9.2690E-02,320～340
Finland,1990-1999,100+,0.524708,1.3118E-01,340～360
,,,,,
,,,,,
ticks per year,4,,,,
