real unemployment,real inflation,real rgdp growth,real pension growth
0.04566667,-0.009129485,0,-0.054684874
0.051,-0.004277714,0.019589567,-0.023251627
0.05433333,-0.002974193,-0.00045118,0.057250156
0.052,-0.003977421,0.012166397,0.048621172
0.05033333,0.001978122,0.010726515,0.105584215
0.05133333,-0.001753126,0.012022291,-0.020008553
0.05066667,-0.003512513,0.018103149,0.078511608
0.05,0.001762395,-0.008349738,0.072395578
0.04733333,-0.002111174,-0.010311326,0.015665882
0.04666667,0,-0.008615968,
0.04466667,0.001057769,0.024195352,
0.04466667,-0.002113405,-0.00159415,
0.045,0.00458876,0.014489995,
0.044,-0.002108207,-0.009401067,
0.04233333,-0.00457745,-0.003919737,
0.04166667,0,-0.000862289,
0.042,0.00106124,0.014047956,
0.04033333,0.001060011,0.009090528,
0.03933333,0.006706746,0.009438493,
0.03866667,0.004908732,-0.001289352,
0.03666667,0.002093496,0.008286278,
0.03633333,0.0219,-0.017946022,
0.03566667,0.004088959,0.000679255,
0.03466667,-0.002714938,0.004576922,
0.035,0.000340266,0.015601968,
0.03366667,0.003741253,0.001512786,
0.03366667,0,0.000859375,
0.03266667,-0.002371878,-0.001731566,
0.03233333,-0.001018965,0.007742811,
0.03166667,0.000339935,-0.001714231,
0.03033333,-0.001359576,0.002032295,
0.03,0.004424564,0.001315288,
0.029,-0.000677965,0.007871782,
0.02866667,0.002035274,0.003955777,
0.028,0.000677047,0.008667908,
0.027,0.004057539,0.000516537,
0.02466667,0.006062705,0.000787754,
0.02366667,-0.004017776,0.00394522,
0.02433333,0.005042232,-0.004973548,
0.02466667,0.001338244,-0.00257228,
