year,age,prob,per tick,in-code age
1990-1999,15-19,0.00039,9.7514.E-05,0～20
1990-1999,20-24,0.000505,1.2627.E-04,20～40
1990-1999,25-29,0.000523,1.3078.E-04,40～60
1990-1999,30-34,0.000638,1.5954.E-04,60～80
1990-1999,35-39,0.000899,2.2483.E-04,80～100
1990-1999,40-44,0.001427,3.5694.E-04,100～120
1990-1999,45-49,0.002329,5.8276.E-04,120～140
1990-1999,50-54,0.003651,9.1400.E-04,140～160
1990-1999,55-59,0.005654,1.4165.E-03,160～180
1990-1999,60-64,0.008959,2.2473.E-03,180～200
1990-1999,65-69,0.013701,3.4430.E-03,200～220
1990-1999,70-74,0.021679,5.4644.E-03,220～240
1990-1999,75-79,0.037803,9.5878.E-03,240～260
1990-1999,80-84,0.068361,1.7547.E-02,260～280
1990-1999,85-89,0.118223,3.0964.E-02,280～300
1990-1999,90-94,0.194816,5.2730.E-02,300～320
1990-1999,95-99,0.29445,8.3501.E-02,320～340
1990-1999,100-104,0.41848,1.2674.E-01,340～360
,,,,
,,,,
ticks per year,4,,,
