Parameter,Unemployment,GDP Growth,Inflation,Pension Growth
Death Prob. Shift,-0.46 (S),-0.62 (M),-1.82 (L),+5.16 (L)
Productivity Growth,+8.32 (L),+0.50 (S),-4.07 (L),-1.43 (L)
Wage Growth,-0.19 (·),+0.40 (S),+3.77 (L),+2.12 (L)
Pension Replace,-4.08 (L),+1.59 (L),+8.82 (L),-29.14 (L)
PAYGO Rate,+3.74 (L),-1.34 (L),-3.16 (L),+23.95 (L)
MPC Income,-13.65 (L),+2.11 (L),+4.41 (L),+3.57 (L)
MPC Wealth,-3.61 (L),+1.41 (L),+1.67 (L),+0.68 (M)
Reorganisation Prob.,-0.01 (·),+0.44 (S),+0.19 (·),-0.20 (S)
Profit Tax Rate,-0.07 (·),-0.03 (·),-0.16 (·),-0.02 (·)
Credit Memory Window,+0.23 (S),+0.14 (·),+0.69 (M),-0.00 (·)
Contract Length,-2.38 (L),-0.01 (·),+0.62 (M),+0.71 (M)
Price Adjustment,-0.58 (M),+1.48 (L),-0.70 (M),-0.12 (·)
Prod. Adjustment,-1.07 (L),+1.65 (L),-0.41 (S),+0.32 (S)
