Parameter,Unemployment,Inflation,GDP Growth,Pension Growth
Death Prob. Shift,-0.20 (S),+0.57 (M),+0.44 (S),-5.01 (L)
Productivity Growth,+4.43 (L),+1.01 (L),-0.44 (S),+1.40 (L)
Wage Growth,-0.13 (·),-0.08 (·),+0.32 (S),-2.08 (L)
Pension Replace,-3.70 (L),-1.59 (L),-3.10 (L),+7.25 (L)
PAYGO Rate,+4.00 (L),+2.55 (L),+2.85 (L),-11.25 (L)
MPC Income,-14.14 (L),-0.69 (M),-5.15 (L),-3.90 (L)
MPC Wealth,-3.90 (L),+0.47 (S),-2.87 (L),-0.69 (M)
Reorganisation Prob.,-0.05 (·),+0.20 (S),-0.06 (·),+0.19 (·)
Profit Tax Rate,-0.07 (·),+0.34 (S),-0.01 (·),+0.03 (·)
Credit Memory Window,+0.07 (·),+0.10 (·),-0.26 (S),+0.00 (·)
Contract Length,-1.47 (L),+0.44 (S),+0.47 (S),-0.67 (M)
Price Adjustment,-0.66 (M),+2.39 (L),-0.66 (M),+0.08 (·)
Prod. Adjustment,-0.84 (L),+0.16 (·),+0.07 (·),-0.34 (S)
