t,u,g,prod,n,yu,ou,infl,pg,pc_pc,workers
1,0.035645,-0.017202,1.027061,2027.24,0.099882,0.014002,-0.003308,0.0,0.763611,1507.2
2,0.023847,0.005146,1.029115,2022.88,0.042584,0.0177,-0.001491,0.0,0.771994,1517.5
3,0.019179,-2.6e-05,1.031174,2018.43,0.023323,0.01786,4e-06,0.0,0.774612,1516.2
4,0.015419,0.000603,1.033236,2013.98,0.015181,0.01549,0.00019,0.051786,0.776749,1514.0
5,0.031898,0.001371,1.039952,2037.23,0.086311,0.014128,0.00049,0.051786,0.769514,1507.5
6,0.025836,0.005465,1.046712,2032.66,0.043265,0.020308,0.000758,0.051786,0.777024,1508.9
7,0.024028,0.002313,1.053515,2028.07,0.028039,0.022784,0.000903,0.051786,0.781198,1503.8
8,0.022919,0.001676,1.060363,2023.23,0.023577,0.022719,0.00074,0.044888,0.784933,1497.7
9,0.040447,0.001075,1.067521,2046.88,0.094317,0.023447,0.000602,0.044888,0.776996,1489.8
10,0.03584,0.004772,1.074726,2041.93,0.055028,0.02996,0.000328,0.044888,0.78377,1489.1
11,0.034074,0.002589,1.081981,2037.56,0.037952,0.032919,0.000306,0.044888,0.788021,1484.0
12,0.033619,0.002306,1.089284,2032.62,0.031079,0.034362,0.000125,0.048399,0.791399,1476.8
13,0.048107,0.000957,1.089012,2055.7,0.100481,0.032158,0.000387,0.048399,0.780637,1473.6
14,0.041539,0.003009,1.08874,2050.7,0.059249,0.036292,0.000509,0.048399,0.783574,1475.9
15,0.035731,0.00219,1.088467,2045.4,0.037391,0.035256,0.000695,0.048399,0.785962,1476.9
16,0.0307,0.00158,1.088195,2040.6,0.025558,0.032136,0.000874,0.039731,0.787314,1476.4
17,0.043378,0.000712,1.086563,2063.7,0.097076,0.027518,0.001218,0.039731,0.777457,1476.6
18,0.035169,0.003524,1.084933,2058.61,0.052201,0.030286,0.001391,0.039731,0.780714,1481.4
19,0.030558,-0.000324,1.083306,2053.61,0.030837,0.030486,0.001541,0.039731,0.781143,1480.8
20,0.026792,-0.000427,1.081684,2048.75,0.02084,0.028395,0.001222,0.030226,0.780806,1478.9
21,0.046896,-0.005648,1.083038,2071.53,0.102234,0.031143,0.000771,0.030226,0.767414,1467.8
22,0.047662,-0.004761,1.084425,2066.84,0.084828,0.03734,-0.000464,0.030226,0.765493,1459.0
23,0.047073,-0.004635,1.085813,2061.71,0.062122,0.043003,-0.002082,0.030226,0.764161,1451.0
24,0.046338,-0.000499,1.087242,2056.29,0.044973,0.046701,-0.00315,0.015408,0.763527,1444.1
25,0.061586,0.001476,1.095459,2078.9,0.114397,0.046814,-0.003016,0.015408,0.758053,1438.6
26,0.059032,0.003849,1.103781,2073.73,0.098024,0.048407,-0.001578,0.015408,0.763101,1433.7
27,0.054774,0.003806,1.112206,2068.5,0.07063,0.050563,-0.00143,0.015408,0.769803,1431.7
28,0.050119,0.003362,1.12065,2062.75,0.049526,0.050267,-0.00095,0.001884,0.777236,1430.6
29,0.059161,0.003015,1.123255,2081.26,0.104667,0.046782,-0.00151,0.001884,0.772226,1430.8
30,0.051727,0.002373,1.125844,2076.09,0.082031,0.043694,-0.001183,0.001884,0.777502,1433.7
31,0.044798,0.003231,1.128422,2070.65,0.055656,0.042002,-0.001352,0.001884,0.782062,1435.1
32,0.040135,0.000712,1.130988,2065.21,0.036584,0.041023,-0.001331,-0.015246,0.785113,1433.6
33,0.051443,0.000829,1.13468,2083.65,0.098059,0.039123,-0.001699,-0.015246,0.779271,1431.0
34,0.046658,0.002935,1.138387,2077.69,0.075044,0.039358,-0.001663,-0.015246,0.783361,1429.7
35,0.04235,0.002973,1.142113,2072.17,0.05118,0.040131,-0.001844,-0.015246,0.787243,1428.3
36,0.039181,0.001659,1.145877,2066.74,0.032053,0.040913,-0.001391,-0.041774,0.789341,1423.7
37,0.051434,0.00133,1.151045,2085.18,0.095707,0.040055,-0.001281,-0.041774,0.783808,1419.9
38,0.048308,0.001771,1.156238,2079.53,0.075023,0.041628,-0.001346,-0.041774,0.787145,1415.7
39,0.045532,0.000893,1.161467,2073.39,0.049292,0.044625,-0.00146,-0.041774,0.79065,1411.4
40,0.044354,0.0003,1.166717,2067.58,0.032741,0.047098,-0.001566,-0.06343,0.79283,1405.0
