retirement-ages,pension-replace-scale,mpc-income,consumer-choices,job-applications,run,Unemployment,GDP_growth,Inflation_mean,Inflation_sd,Pension_growth
181,0.6,0.9,5,5,6725.5,2.772,0.131,-0.022,0.16,2.145
181,0.55,0.9,5,5,5375.5,2.967,0.129,-0.044,0.174,4.414
181,0.6,0.9,5,4,6675.5,3.07,0.126,-0.021,0.156,1.995
181,0.6,0.9,4,5,6575.5,3.099,0.112,-0.026,0.165,1.978
181,0.55,0.9,5,4,5325.5,3.203,0.12,-0.046,0.171,4.333
181,0.6,0.9,4,4,6525.5,3.292,0.106,-0.027,0.162,1.817
181,0.6,0.9,5,3,6625.5,3.305,0.12,-0.023,0.151,1.885
181,0.55,0.9,4,5,5225.5,3.308,0.109,-0.046,0.188,4.361
181,0.55,0.9,5,3,5275.5,3.427,0.121,-0.05,0.156,4.245
181,0.6,0.85,5,5,6275.5,3.436,0.118,-0.053,0.216,1.968
181,0.55,0.9,4,4,5175.5,3.487,0.109,-0.051,0.177,4.246
181,0.6,0.85,5,4,6225.5,3.566,0.112,-0.056,0.204,1.878
181,0.55,0.85,5,5,4925.5,3.591,0.111,-0.066,0.235,4.234
181,0.6,0.9,4,3,6475.5,3.693,0.102,-0.029,0.164,1.789
181,0.55,0.85,5,4,4875.5,3.769,0.114,-0.065,0.239,4.17
181,0.6,0.9,3,5,6425.5,3.84,0.077,-0.033,0.168,1.893
181,0.55,0.9,4,3,5125.5,3.92,0.098,-0.047,0.181,4.153
181,0.6,0.85,4,5,6125.5,3.929,0.103,-0.052,0.231,1.841
181,0.6,0.85,5,3,6175.5,3.938,0.117,-0.056,0.212,1.779
181,0.6,0.9,3,4,6375.5,3.97,0.081,-0.033,0.17,1.739
