run,retirement-ages,pension-replace-scale,mpc-income,consumer-choices,job-applications,Unemployment,GDP Growth,Inflation,Pension Growth
1,173,0.55,0.8,3,3,0.032929476402499866,0.00016537186076723216,0.0024025556041085703,-0.011050089024669103
2,173,0.55,0.8,3,3,0.03079175956791929,0.0005012255117466672,0.0018728084469918404,0.003937141255595894
3,173,0.55,0.8,3,3,0.03257361652042505,0.000649198098931452,0.002642377064810583,-0.01713421624626148
4,173,0.55,0.8,3,3,0.027794738103962945,0.0007430491836806681,0.0022881143234558636,-0.009462357077624729
5,173,0.55,0.8,3,3,0.028357184812984826,0.0003044274446444751,0.0023552633025697217,-0.0014179122848794658
6,173,0.55,0.8,3,3,0.03704073013140034,0.000676841492759709,0.003389179878242036,-0.003391836860263149
7,173,0.55,0.8,3,3,0.029746284258127954,-0.00025911502536409556,0.0020081466951732707,-0.011035126960379154
8,173,0.55,0.8,3,3,0.02860640697040942,0.0006288476243528855,0.0024097806926631077,-0.016198455468344627
9,173,0.55,0.8,3,3,0.037478732705307584,0.0005448665093358083,0.0028978715527977544,-0.007462527345824538
10,173,0.55,0.8,3,3,0.03454937810164401,0.00036173815227874534,0.0029782945545357787,-0.004498814271958462
11,173,0.55,0.8,3,3,0.030268963335785014,-0.0007184296960131731,0.002547546883875943,-0.0003075198341067361
12,173,0.55,0.8,3,3,0.025902010327465308,0.00032462935868111183,0.0026802787293156464,-0.0005384181422144541
13,173,0.55,0.8,3,3,0.0324990850312217,0.00045767897784510187,0.0023439967377123505,-0.01110391711195274
14,173,0.55,0.8,3,3,0.031672779364614566,0.0011677687099418067,0.0018205676812514903,-0.005425529804822159
15,173,0.55,0.8,3,3,0.031203900803031304,0.0005226448888053704,0.0023616080960221063,-0.005838429238539521
16,173,0.55,0.8,3,3,0.03233942352448477,-0.0001469871619499203,0.002056070380486139,-0.0031240611156514936
17,173,0.55,0.8,3,3,0.03131226599069203,0.0003419902536613953,0.0019695715579460737,-0.01313071779124878
18,173,0.55,0.8,3,3,0.030326120710138914,-0.00015010849933836477,0.0023302015751364966,-0.005028962630318902
19,173,0.55,0.8,3,3,0.03230322959041204,-0.00030070455848173124,0.0031681524790987937,-0.0024240655276665047
20,173,0.55,0.8,3,3,0.03021620602743299,0.0005703400903152052,0.0025138456413319687,-0.010814001851620745
21,173,0.55,0.8,3,3,0.033296232349962464,0.0002863465697057584,0.0031512088467576,-0.011663261664313682
22,173,0.55,0.8,3,3,0.028295691639886555,0.0006442577449818402,0.0022496613392008246,-0.012840594159503442
23,173,0.55,0.8,3,3,0.03154044451833269,-0.00018808910516320416,0.002678470251984577,-0.006647555907226761
24,173,0.55,0.8,3,3,0.02687693314240628,0.00018135257150376417,0.0017650394097732563,-0.016178936447081415
25,173,0.55,0.8,3,3,0.03326743521658808,0.0002664397099288281,0.0026588944672127786,-0.009426096056423592
26,173,0.55,0.8,3,3,0.03024251080518469,0.0009210579178317802,0.002373430705403528,-0.002230445320351294
27,173,0.55,0.8,3,3,0.040596123099197925,0.0001408267905305658,0.0031142617455299465,-0.003501221574933539
28,173,0.55,0.8,3,3,0.032830642064796405,-3.285537785578637e-05,0.0026210940362160744,-0.012239512565742525
29,173,0.55,0.8,3,3,0.030196466878034463,0.000684855749238379,0.003063793878397899,-0.005458422157543832
30,173,0.55,0.8,3,3,0.030040963148967592,0.00021200621446126585,0.0024980810630405186,-0.00712021629217662
31,173,0.55,0.8,3,3,0.0346077569103948,-0.00043111201172047733,0.0029248423435694467,-0.0008474394794287105
32,173,0.55,0.8,3,3,0.03352467976203553,0.0007184907982169767,0.002513769861459008,-0.007655762651669262
33,173,0.55,0.8,3,3,0.033487789573626435,0.000739063394849155,0.0025291143373036284,0.0008660352926011794
34,173,0.55,0.8,3,3,0.031228747004145428,0.0005093968673428403,0.002371286630116755,-0.017346333984752098
35,173,0.55,0.8,3,3,0.03111322482095269,1.3176976261262615e-05,0.003045367166706459,-0.0055641246019288125
36,173,0.55,0.8,3,3,0.03140500944779813,0.0003638455441481505,0.0022144235980221492,-0.0039729259399434195
37,173,0.55,0.8,3,3,0.031615341800414684,0.00031158983306735807,0.0020796535719405504,-0.007386596877582612
38,173,0.55,0.8,3,3,0.029528794670083396,0.0004966583164795079,0.0022660249903802146,-0.013169144384121804
39,173,0.55,0.8,3,3,0.03361440280127244,0.0004864582263205391,0.003057172161483341,-0.008469434663366414
40,173,0.55,0.8,3,3,0.033933894433596026,0.00013016389806349733,0.0024970876484058492,-0.004174748548373098
41,173,0.55,0.8,3,3,0.030916894175453437,0.0005147166269669625,0.00176533632136057,0.0012999036135781573
42,173,0.55,0.8,3,3,0.03552091155099894,0.0003659326178030222,0.002965241784289546,0.0024481737981620635
43,173,0.55,0.8,3,3,0.033223823216382134,0.0010026574279962304,0.002491098638726235,-0.004392787461754941
44,173,0.55,0.8,3,3,0.03229589017796179,0.0004240810843226681,0.002559276291592405,-0.000746764320276395
45,173,0.55,0.8,3,3,0.0314851118053696,0.0006209223147690072,0.002411875074758645,-0.0022830520650538467
46,173,0.55,0.8,3,3,0.03028129462956524,0.00012730375540790105,0.002068813703310303,0.0012417113329179436
47,173,0.55,0.8,3,3,0.03377486972746756,0.0004036709873478501,0.002499251983708121,0.00045644471562866583
48,173,0.55,0.8,3,3,0.030618881967056356,-0.00011096318247642212,0.002492063634114605,-0.006002120810579989
49,173,0.55,0.8,3,3,0.035359009591850496,0.0003119366824065937,0.0032794618188190486,-0.007726522652495355
50,173,0.55,0.8,3,3,0.033848092027474866,-4.796637793154489e-05,0.0023681191168684742,-0.004484037668589573
51,173,0.55,0.8,3,4,0.029447878359622426,0.0009142711603834716,0.0024179922734816964,-0.0028681441023444883
