x,y,t,fund,unemp,gdp
0.45,169,1,2745.821978861573,0.023998404232063408,-0.05305019743746013
0.45,169,2,2797.2993205389243,0.0037271066499286833,0.01235605298403768
0.45,169,3,2848.8920254945815,0.0021614315678007323,-0.0026313124057343183
0.45,169,4,2900.1700469487087,0.0019191884508934186,-0.0019003540913575215
0.45,169,5,2949.264066552517,0.02065820228469573,0.0006004269677442618
0.45,169,6,3000.53645089223,0.004657577348163144,0.01381249140492147
0.45,169,7,3050.645786401055,0.0036915044844142235,0.0021484335409121
0.45,169,8,3098.889941280437,0.003804751845985675,0.0013889019001537331
0.45,169,9,3156.768789055478,0.022302140224146064,0.0016819675735596205
0.45,169,10,3217.0210341490915,0.008386321313596427,0.011987649825720382
0.45,169,11,3276.4478041313246,0.006236510069867027,0.0024284813470829975
0.45,169,12,3334.4782965632985,0.005342917739879134,0.0023293670767307053
0.45,169,13,3387.9989561949346,0.024074300450280608,-0.0031766061210161223
0.45,169,14,3443.34770699851,0.00864325474111056,0.009189942273840086
0.45,169,15,3497.511262442742,0.00562296083500028,-0.001428179715478048
0.45,169,16,3549.8854653231488,0.0038262964210280296,-0.0010489756969709978
0.45,169,17,3595.5461424762525,0.022629525814610314,-0.0038157799262584957
0.45,169,18,3642.6338710121317,0.0064103058100597405,0.009048753615408543
0.45,169,19,3686.9806138451804,0.005559413530128791,-0.005185147742071237
0.45,169,20,3728.196955006689,0.005716092503973951,-0.005092803092610027
0.45,169,21,3761.1318445936326,0.027312107874846787,-0.004683213502784966
0.45,169,22,3793.972408097551,0.017278325381501557,0.00415239926570906
0.45,169,23,3824.7966118762615,0.013897041697921397,-0.004925812660530492
0.45,169,24,3854.43328025607,0.009907475008512986,0.002889864755739804
0.45,169,25,3877.319550840597,0.030090375231117097,-9.37063429605001e-05
0.45,169,26,3900.0503705909805,0.019844046919669157,0.007031321001341392
0.45,169,27,3922.3791244539048,0.01278776913170389,0.00539989862794586
0.45,169,28,3943.4132883606517,0.01055154435750691,0.0012590260684859258
0.45,169,29,3951.3315387753273,0.0247844150912875,-0.0022051244610445716
0.45,169,30,3960.315834323362,0.014232023275487837,0.00668768210966431
0.45,169,31,3967.669179525593,0.009425538110144877,0.00046577013525147675
0.45,169,32,3972.8257451749178,0.007520189715517557,-0.00014527422230683581
0.45,169,33,3956.6859803657558,0.02260534013552268,0.00046535262341608995
0.45,169,34,3939.565033991762,0.01180397012390111,0.00864151343823047
0.45,169,35,3918.956800893854,0.009400066886666987,-0.000360991735870564
0.45,169,36,3894.464571087424,0.006986274192784229,-3.4686320521531977e-06
0.45,169,37,3856.4919716646664,0.023592969320834486,-0.0021178310508015827
0.45,169,38,3816.663128674815,0.01523658230006775,0.008722471904553901
0.45,169,39,3773.8153225066476,0.010295656755553313,0.00140479828371384
0.45,169,40,3726.545735330141,0.01165267746797274,-0.004239769040170354
