scan,run,px,py,x,y,Unemployment,GDP Growth,Inflation,Pension Growth,YoungUnemp,OldUnemp,PensionBalEnd,Bankruptcies
mpc x birth,1,mpc-income,birth-count-shift,0.65,-4.0,0.040981563550294274,-0.0017155483285672569,0.007473153792495121,0.0017336089879359784,0.052456466924433134,0.03866711166646475,3312.874983693745,40
mpc x birth,2,mpc-income,birth-count-shift,0.65,-4.0,0.04827946764647288,-0.0008969424750337803,0.007635662915198065,0.004047803757840942,0.05813480657436186,0.04633724901488382,3398.6108952704653,39
mpc x birth,3,mpc-income,birth-count-shift,0.65,-4.0,0.04384527357736723,-0.0022086610138857448,0.0077094623613891255,-0.001099519439541053,0.054759395893211514,0.041473997909548053,3226.308536846539,41
mpc x birth,4,mpc-income,birth-count-shift,0.65,-4.0,0.05068630138878142,-0.003010882211835097,0.008643377844557088,0.003403209263543663,0.06171477640417609,0.04843276917862003,3349.324661274932,40
mpc x birth,5,mpc-income,birth-count-shift,0.65,-4.0,0.04201987052581891,-0.0020745823018891133,0.009870274171822175,-0.0027591658303232416,0.058677234608688233,0.03872940193528238,3152.088492617794,39
mpc x birth,6,mpc-income,birth-count-shift,0.65,-4.0,0.042399824127727914,-0.0018540139321659474,0.006878370851823621,0.0017534843245244857,0.047581990800923256,0.040906424036215035,3344.6515300439946,37
mpc x birth,7,mpc-income,birth-count-shift,0.65,-4.0,0.043101819620965195,-0.002273477268288371,0.007943484318081024,-0.003642425248345949,0.053857994572189496,0.04071665385754279,3148.5076504287167,36
mpc x birth,8,mpc-income,birth-count-shift,0.65,-4.0,0.04462821791487735,-0.0011213537828015506,0.008522572951187798,0.00596267430915842,0.059333907429870325,0.04185801297671243,3477.7236441199134,36
mpc x birth,9,mpc-income,birth-count-shift,0.65,-4.0,0.047477077523533764,-0.0010357796878313744,0.007473159147694483,0.0008431567624989693,0.06069562504472601,0.04471760751408367,3258.9120700717654,37
mpc x birth,10,mpc-income,birth-count-shift,0.65,-4.0,0.04182204757114019,-0.001743368941002265,0.008527604319540269,-0.002357477842987771,0.06467940990286818,0.03733447688664422,3177.2840138800607,35
mpc x birth,11,mpc-income,birth-count-shift,0.65,-4.0,0.04349485653482692,-0.0004637593263927652,0.00885807793931674,-0.001981667107831767,0.049757322826192066,0.04168690922341656,3194.5768767798027,35
mpc x birth,12,mpc-income,birth-count-shift,0.65,-4.0,0.04169407090773329,-0.0010291844839251294,0.00708734769737959,-0.0012282677741732508,0.04970301203528462,0.03994233839059638,3215.33139474182,38
mpc x birth,13,mpc-income,birth-count-shift,0.65,-4.0,0.04745254337672217,-0.003305488350321585,0.009998460446025082,0.002305748972280221,0.06358438254070116,0.044188367504189224,3325.747801845658,41
mpc x birth,14,mpc-income,birth-count-shift,0.65,-4.0,0.052042399912957574,-0.0022099929568708534,0.009208174022014801,-0.008941664257935099,0.0648507114897143,0.049572871588760406,2902.4154621436774,35
mpc x birth,15,mpc-income,birth-count-shift,0.65,-4.0,0.04446232053443553,-0.0008252605535522806,0.005711832047778927,-0.005974731999913554,0.056995206094991466,0.042002574714407534,3019.4253671210704,37
mpc x birth,16,mpc-income,birth-count-shift,0.65,-4.0,0.04695191536582345,-0.0015147210416763472,0.009520058673876616,0.0024305511976856937,0.05929604582565984,0.044623933234704635,3330.702461091586,39
mpc x birth,17,mpc-income,birth-count-shift,0.65,-4.0,0.04304151722115322,-0.0032538536112444705,0.007917846027748246,-0.003502806552670933,0.055672797401346744,0.04017083064832568,3078.1515548527304,39
