Effect,Type,Metric,SS,df,eta2_pct,partial_eta2_pct,F,p
Retirement age,main,Unemployment,7.790909940981564,2,89.21648795591017,98.07097327888077,307554.24295333977,0.0
Replacement rate,main,Unemployment,0.038867495931196594,2,0.44508555597359506,20.231647210457787,1534.3346768432975,0.0
MPC income,main,Unemployment,0.4190430793408676,2,4.798611731393198,73.22241897932346,16542.159774379274,0.0
Consumer search,main,Unemployment,0.21060998700348765,2,2.4117700642453768,57.88296720464824,8314.047473523946,0.0
Job applications,main,Unemployment,0.039628835139932,2,0.45380392274474873,20.54652048387344,1564.3893310168266,0.0
Retirement age × Replacement rate,interaction,Unemployment,0.002183898778682738,4,0.025008603688303946,1.4050801593259798,43.10583363513188,5.7217544595339756e-36
Retirement age × MPC income,interaction,Unemployment,0.04153041192568993,4,0.47557955661665513,21.322218978244344,819.7280225354966,0.0
Retirement age × Consumer search,interaction,Unemployment,0.023841841731040182,4,0.2730214316116295,13.463371489328921,470.59070376570014,0.0
Retirement age × Job applications,interaction,Unemployment,0.004435634026313877,4,0.050794026972874974,2.8130516707527886,87.55062472260883,1.8522858234236605e-73
Replacement rate × MPC income,interaction,Unemployment,0.0033844049276936187,4,0.03875602769853854,2.1607741909846263,66.80144574057441,5.346599153940043e-56
Replacement rate × Consumer search,interaction,Unemployment,0.0007041515551436669,4,0.008063490556880387,0.45739268256706994,13.898556144735945,2.5878880092203172e-11
Replacement rate × Job applications,interaction,Unemployment,5.55169138250648e-05,4,0.0006357439774228957,0.03621446448100253,1.095793850263813,0.35667830172260206
MPC income × Consumer search,interaction,Unemployment,0.0039421088924244925,4,0.04514249467470623,2.507910606820279,77.8094166941746,2.8453592460214256e-65
MPC income × Job applications,interaction,Unemployment,3.079149991946768e-05,4,0.0003526044457604772,0.020088968991204763,0.6077631829188226,0.6570307392622105
Consumer search × Job applications,interaction,Unemployment,0.0001768477961823433,4,0.002025147177627813,0.11526907651320699,3.490625003038771,0.007438109357897702
Retirement age,main,GDP Growth,0.0001084909454227262,2,3.615285419163043,5.375425401499219,343.6595208416899,6.852285077040471e-146
Replacement rate,main,GDP Growth,4.720474200400616e-05,2,1.573021737597356,2.4121092009233527,149.5273080656016,7.090679993041422e-65
MPC income,main,GDP Growth,0.00043478730043052416,2,14.48858410772467,18.544414484611,1377.2466886688799,0.0
Consumer search,main,GDP Growth,0.00021676152522815323,2,7.22322751027228,10.193121587416677,686.621004237435,3.519099906486551e-283
Job applications,main,GDP Growth,6.4962103441438575e-06,2,0.2164757109037023,0.3390007985121731,20.577611573542956,1.1979034186666352e-09
Retirement age × Replacement rate,interaction,GDP Growth,1.8917286828208895e-05,4,0.6303880104802034,0.9808295414476997,29.96151292477012,7.662631297112218e-25
Retirement age × MPC income,interaction,GDP Growth,0.00020432641696810242,4,6.808847624438432,9.664881696384347,323.6155712209708,5.275536806426158e-265
Retirement age × Consumer search,interaction,GDP Growth,7.917636524564445e-06,4,0.26384244113605493,0.4128708098646754,12.540084168445745,3.506874658849965e-10
Retirement age × Job applications,interaction,GDP Growth,2.000750067517103e-06,4,0.0666717624987058,0.10465343883291764,3.1688211714250385,0.013007727975996685
Replacement rate × MPC income,interaction,GDP Growth,2.5613523638510347e-05,4,0.853529280096926,1.3234233949999779,40.56712394928532,8.069568518203041e-34
Replacement rate × Consumer search,interaction,GDP Growth,7.610111333677943e-07,4,0.025359466115492106,0.03983211734045201,1.2053020665887926,0.30620021209134235
Replacement rate × Job applications,interaction,GDP Growth,4.867360867497539e-07,4,0.016219693455065524,0.025479932871483542,0.7709006945096654,0.5439562397002646
MPC income × Consumer search,interaction,GDP Growth,1.583952218024451e-05,4,0.5278264776993279,0.8225652393494346,25.08689818129232,1.0120315492791164e-20
MPC income × Job applications,interaction,GDP Growth,5.096224721632755e-07,4,0.01698234526126426,0.026677682556968247,0.8071485316649378,0.5203512530726135
Consumer search × Job applications,interaction,GDP Growth,9.969779603150863e-07,4,0.03322267926701113,0.052176423271145696,1.5790302443978759,0.1768268829878245
Retirement age,main,Inflation,0.0023253744632548102,2,22.337271618099177,48.918827305947126,5793.415267887562,0.0
Replacement rate,main,Inflation,0.0004498308492711981,2,4.321021848802311,15.630017812938124,1120.7041925139697,0.0
MPC income,main,Inflation,0.004593905240910453,2,44.12850952633074,65.42097727251856,11445.210731637311,0.0
